"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MLY-CLDD-BASE45","MLY-CLDD-BASE45_ATTRIBUTES","MLY-CLDD-BASE50","MLY-CLDD-BASE50_ATTRIBUTES","MLY-CLDD-BASE55","MLY-CLDD-BASE55_ATTRIBUTES","MLY-CLDD-BASE57","MLY-CLDD-BASE57_ATTRIBUTES","MLY-CLDD-BASE60","MLY-CLDD-BASE60_ATTRIBUTES","MLY-CLDD-BASE70","MLY-CLDD-BASE70_ATTRIBUTES","MLY-CLDD-BASE72","MLY-CLDD-BASE72_ATTRIBUTES","MLY-CLDD-NORMAL","MLY-CLDD-NORMAL_ATTRIBUTES","MLY-DUTR-NORMAL","MLY-DUTR-NORMAL_ATTRIBUTES","MLY-DUTR-STDDEV","MLY-DUTR-STDDEV_ATTRIBUTES","MLY-GRDD-BASE40","MLY-GRDD-BASE40_ATTRIBUTES","MLY-GRDD-BASE45","MLY-GRDD-BASE45_ATTRIBUTES","MLY-GRDD-BASE50","MLY-GRDD-BASE50_ATTRIBUTES","MLY-GRDD-BASE55","MLY-GRDD-BASE55_ATTRIBUTES","MLY-GRDD-BASE57","MLY-GRDD-BASE57_ATTRIBUTES","MLY-GRDD-BASE60","MLY-GRDD-BASE60_ATTRIBUTES","MLY-GRDD-BASE65","MLY-GRDD-BASE65_ATTRIBUTES","MLY-GRDD-BASE70","MLY-GRDD-BASE70_ATTRIBUTES","MLY-GRDD-BASE72","MLY-GRDD-BASE72_ATTRIBUTES","MLY-GRDD-TB4886","MLY-GRDD-TB4886_ATTRIBUTES","MLY-GRDD-TB5086","MLY-GRDD-TB5086_ATTRIBUTES","MLY-HTDD-BASE40","MLY-HTDD-BASE40_ATTRIBUTES","MLY-HTDD-BASE45","MLY-HTDD-BASE45_ATTRIBUTES","MLY-HTDD-BASE50","MLY-HTDD-BASE50_ATTRIBUTES","MLY-HTDD-BASE55","MLY-HTDD-BASE55_ATTRIBUTES","MLY-HTDD-BASE57","MLY-HTDD-BASE57_ATTRIBUTES","MLY-HTDD-BASE60","MLY-HTDD-BASE60_ATTRIBUTES","MLY-HTDD-NORMAL","MLY-HTDD-NORMAL_ATTRIBUTES","MLY-PRCP-25PCTL","MLY-PRCP-25PCTL_ATTRIBUTES","MLY-PRCP-50PCTL","MLY-PRCP-50PCTL_ATTRIBUTES","MLY-PRCP-75PCTL","MLY-PRCP-75PCTL_ATTRIBUTES","MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE001HI_ATTRIBUTES","MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE010HI_ATTRIBUTES","MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE050HI_ATTRIBUTES","MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE100HI_ATTRIBUTES","MLY-PRCP-NORMAL","MLY-PRCP-NORMAL_ATTRIBUTES","MLY-SNOW-25PCTL","MLY-SNOW-25PCTL_ATTRIBUTES","MLY-SNOW-50PCTL","MLY-SNOW-50PCTL_ATTRIBUTES","MLY-SNOW-75PCTL","MLY-SNOW-75PCTL_ATTRIBUTES","MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE001TI_ATTRIBUTES","MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE010TI_ATTRIBUTES","MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE030TI_ATTRIBUTES","MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE050TI_ATTRIBUTES","MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-AVGNDS-GE100TI_ATTRIBUTES","MLY-SNOW-NORMAL","MLY-SNOW-NORMAL_ATTRIBUTES","MLY-SNWD-AVGNDS-GE001WI","MLY-SNWD-AVGNDS-GE001WI_ATTRIBUTES","MLY-SNWD-AVGNDS-GE003WI","MLY-SNWD-AVGNDS-GE003WI_ATTRIBUTES","MLY-SNWD-AVGNDS-GE005WI","MLY-SNWD-AVGNDS-GE005WI_ATTRIBUTES","MLY-SNWD-AVGNDS-GE010WI","MLY-SNWD-AVGNDS-GE010WI_ATTRIBUTES","MLY-TAVG-NORMAL","MLY-TAVG-NORMAL_ATTRIBUTES","MLY-TAVG-STDDEV","MLY-TAVG-STDDEV_ATTRIBUTES","MLY-TMAX-AVGNDS-GRTH040","MLY-TMAX-AVGNDS-GRTH040_ATTRIBUTES","MLY-TMAX-AVGNDS-GRTH050","MLY-TMAX-AVGNDS-GRTH050_ATTRIBUTES","MLY-TMAX-AVGNDS-GRTH060","MLY-TMAX-AVGNDS-GRTH060_ATTRIBUTES","MLY-TMAX-AVGNDS-GRTH070","MLY-TMAX-AVGNDS-GRTH070_ATTRIBUTES","MLY-TMAX-AVGNDS-GRTH080","MLY-TMAX-AVGNDS-GRTH080_ATTRIBUTES","MLY-TMAX-AVGNDS-GRTH090","MLY-TMAX-AVGNDS-GRTH090_ATTRIBUTES","MLY-TMAX-AVGNDS-GRTH100","MLY-TMAX-AVGNDS-GRTH100_ATTRIBUTES","MLY-TMAX-AVGNDS-LSTH032","MLY-TMAX-AVGNDS-LSTH032_ATTRIBUTES","MLY-TMAX-NORMAL","MLY-TMAX-NORMAL_ATTRIBUTES","MLY-TMAX-STDDEV","MLY-TMAX-STDDEV_ATTRIBUTES","MLY-TMIN-AVGNDS-LSTH000","MLY-TMIN-AVGNDS-LSTH000_ATTRIBUTES","MLY-TMIN-AVGNDS-LSTH010","MLY-TMIN-AVGNDS-LSTH010_ATTRIBUTES","MLY-TMIN-AVGNDS-LSTH020","MLY-TMIN-AVGNDS-LSTH020_ATTRIBUTES","MLY-TMIN-AVGNDS-LSTH032","MLY-TMIN-AVGNDS-LSTH032_ATTRIBUTES","MLY-TMIN-AVGNDS-LSTH040","MLY-TMIN-AVGNDS-LSTH040_ATTRIBUTES","MLY-TMIN-AVGNDS-LSTH050","MLY-TMIN-AVGNDS-LSTH050_ATTRIBUTES","MLY-TMIN-AVGNDS-LSTH060","MLY-TMIN-AVGNDS-LSTH060_ATTRIBUTES","MLY-TMIN-AVGNDS-LSTH070","MLY-TMIN-AVGNDS-LSTH070_ATTRIBUTES","MLY-TMIN-NORMAL","MLY-TMIN-NORMAL_ATTRIBUTES","MLY-TMIN-PRBOCC-LSTH016","MLY-TMIN-PRBOCC-LSTH016_ATTRIBUTES","MLY-TMIN-PRBOCC-LSTH020","MLY-TMIN-PRBOCC-LSTH020_ATTRIBUTES","MLY-TMIN-PRBOCC-LSTH024","MLY-TMIN-PRBOCC-LSTH024_ATTRIBUTES","MLY-TMIN-PRBOCC-LSTH028","MLY-TMIN-PRBOCC-LSTH028_ATTRIBUTES","MLY-TMIN-PRBOCC-LSTH032","MLY-TMIN-PRBOCC-LSTH032_ATTRIBUTES","MLY-TMIN-PRBOCC-LSTH036","MLY-TMIN-PRBOCC-LSTH036_ATTRIBUTES","MLY-TMIN-STDDEV","MLY-TMIN-STDDEV_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","01","2",,"-7777",,"-7777",,"-7777","S","-7777","S","0","S","0","S","0","S","14.5","S","2.1","S","7","S","2","S","-7777","S","-7777","S","-7777","S","-7777","S","0","S","0","S","0","S","5","S","4","S","511","S","660","S","814","S","969","S","1031","S","1124","S","1279","S","1.12","C","1.45","C","1.96","C","10.5","C","4.7","C","0.9","C","0.1","C","1.73","C","5.0","S","10.2","S","15.5","S","8.2","S","3.7","S","1.1","S","0.3","S","-7777","S","10.8","S","17.1","C","10.2","C","6.0","C","0.9","C","23.8","S","5.6","S","59","C","1.3","C","1","C","0","C","0","C","0.0","C","0.0","C","16.1","C","31.0","C","5.1","C","3.8","S","91","S","173","S","28.0","S","309","S","310","S","310","S","310","S","16.5","S","998","S","1000","S","1000","S","1000","S","1000","S","1000","S","6.2","S"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","02","5",,"2",,"-7777",,"-7777","S","-7777","S","0","S","0","S","-7777","S","15.2","S","1.9","S","15","S","5","S","2","S","-7777","S","-7777","S","-7777","S","-7777","S","0","S","0","S","11","S","8","S","359","S","489","S","626","S","765","S","820","S","904","S","1044","S","0.82","C","1.64","C","2.35","C","8.8","C","4.4","C","0.9","C","0.3","C","1.79","C","2.2","S","7.3","S","15.2","S","5.9","S","2.7","S","0.8","S","0.3","S","0.1","S","9.1","S","12.3","S","7.5","S","5.0","S","0.6","S","27.7","S","5.1","S","88","C","2.6","C","4","C","1","C","0","C","0.0","C","0.0","C","10.3","C","35.3","C","5.1","C","1.7","S","56","S","126","S","24.0","S","276","S","280","S","280","S","280","S","20.1","S","990","S","998","S","1000","S","1000","S","1000","S","1000","S","5.3","S"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","03","52",,"25",,"11",,"7","S","4","S","-7777","S","0","S","1","S","17.5","S","2.0","S","96","S","52","S","25","S","11","S","7","S","4","S","1","S","-7777","S","0","S","70","S","57","S","162","S","272","S","400","S","541","S","599","S","689","S","841","S","1.49","C","2.39","C","3.54","C","11.1","C","5.5","C","1.5","C","0.4","C","2.50","C","2.0","S","4.1","S","9.0","S","4.2","S","1.7","S","0.6","S","0.1","S","0.0","S","5.6","S","4.3","S","1.9","S","1.2","S","0.2","S","37.9","S","3.3","S","210","C","10.5","C","49","C","16","C","1","C","0.0","C","0.0","C","2.9","C","46.6","C","3.8","C","-7777","S","7","S","46","S","19.6","S","273","S","303","S","309","S","310","S","29.2","S","776","S","949","S","996","S","1000","S","1000","S","1000","S","3.1","S"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","04","180",,"99",,"50",,"37","S","23","S","3","S","1","S","9","S","20.2","S","2.0","S","289","S","180","S","99","S","50","S","37","S","23","S","9","S","3","S","1","S","192","S","165","S","23","S","63","S","132","S","233","S","280","S","356","S","492","S","2.08","C","2.92","C","4.33","C","12.0","C","6.4","C","2.4","C","0.8","C","3.38","C","0.0","S","0.2","S","1.7","S","0.9","S","0.3","S","0.1","S","-7777","S","0.0","S","1.2","S","0.4","S","0.1","S","-7777","S","0.0","S","48.9","S","2.9","S","287","C","22.9","C","136","C","57","C","15","C","0.0","C","0.0","C","-7777","C","59.0","C","3.6","C","0.0","S","-7777","S","2","S","6.3","S","180","S","271","S","294","S","300","S","38.8","S","86","S","231","S","535","S","833","S","973","S","999","S","2.5","S"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","05","442",,"300",,"181",,"143","S","97","S","15","S","9","S","44","S","21.7","S","2.2","S","594","S","442","S","300","S","181","S","143","S","97","S","44","S","15","S","9","S","392","S","348","S","1","S","3","S","16","S","52","S","76","S","123","S","225","S","2.07","C","3.65","C","4.90","C","11.6","C","7.2","C","2.2","C","0.8","C","3.68","C","0.0","S","0.0","S","0.0","S","-7777","C","0.0","C","0.0","C","0.0","C","0.0","C","-7777","S","0.0","C","0.0","C","0.0","C","0.0","C","59.1","S","3.4","S","309","C","30.4","C","254","C","152","C","62","C","0.5","C","0.0","C","0.0","C","70.0","C","3.9","C","0.0","S","0","S","0","S","0.3","S","52","S","191","S","279","S","308","S","48.3","S","0","S","0","S","0","S","40","S","233","S","594","S","3.2","S"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","06","717",,"567",,"420",,"363","S","282","S","76","S","51","S","165","S","21.6","S","1.9","S","867","S","717","S","567","S","420","S","363","S","282","S","165","S","76","S","51","S","618","S","561","S","0","S","-7777","S","-7777","S","3","S","6","S","15","S","48","S","1.97","S","3.12","S","4.50","S","10.2","C","5.9","C","2.4","C","0.9","C","3.45","S","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","68.9","S","2.7","S","300","C","30.0","C","294","C","256","C","158","C","3.0","C","0.1","C","0.0","C","79.7","C","3.0","C","0.0","S","0","S","0","S","0.0","S","3","S","41","S","176","S","284","S","58.1","S","0","S","0","S","0","S","0","S","0","S","23","S","2.8","S"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","07","899",,"744",,"589",,"527","S","434","S","151","S","108","S","283","S","20.2","S","1.9","S","1054","S","899","S","744","S","589","S","527","S","434","S","283","S","151","S","108","S","777","S","716","S","0","S","0","S","-7777","S","-7777","S","-7777","S","-7777","S","4","S","2.68","C","3.72","C","4.30","C","9.8","C","6.0","C","2.3","C","1.0","C","3.70","C","0.0","S","0.0","S","0.0","S","0.0","S","0.0","S","0.0","S","0.0","S","0.0","S","0.0","S","0.0","S","0.0","S","0.0","S","0.0","S","74.0","S","2.6","S","310","C","31.0","C","310","C","301","C","226","C","5.9","C","0.3","C","0.0","C","84.1","C","3.0","C","0.0","S","0","S","0","S","0.0","S","0","S","3","S","81","S","260","S","63.9","S","0","S","0","S","0","S","0","S","0","S","0","S","2.5","S"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","08","849",,"694",,"539",,"478","S","385","S","115","S","79","S","238","S","19.0","S","1.5","S","1004","S","849","S","694","S","539","S","478","S","385","S","238","S","115","S","79","S","740","S","678","S","0","S","0","S","0","S","-7777","S","-7777","S","1","S","9","S","2.48","C","3.92","C","6.61","C","9.8","C","6.7","C","2.8","C","1.5","C","4.90","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","72.4","S","2.9","S","310","C","31.0","C","310","C","299","C","191","C","3.6","C","-7777","C","0.0","C","81.9","C","2.9","C","0.0","S","0","S","0","S","0.0","S","0","S","6","S","100","S","271","S","62.9","S","0","S","0","S","0","S","0","S","0","S","0","S","3.2","S"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","09","587",,"440",,"302",,"250","S","181","S","35","S","21","S","92","S","20.4","S","2.0","S","736","S","587","S","440","S","302","S","250","S","181","S","92","S","35","S","21","S","508","S","456","S","-7777","S","1","S","4","S","15","S","24","S","44","S","105","S","1.23","C","2.70","C","3.91","C","8.3","C","5.4","C","2.0","C","0.8","C","3.21","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","0.0","C","64.6","S","2.3","S","300","C","30.0","C","286","C","211","C","89","C","1.0","C","0.0","C","0.0","C","74.8","C","2.8","C","0.0","S","0","S","0","S","0.1","S","13","S","92","S","220","S","295","S","54.3","S","0","S","0","S","0","S","3","S","48","S","245","S","2.3","S"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","10","262",,"156",,"79",,"57","S","33","S","3","S","1","S","11","S","19.5","S","2.3","S","396","S","262","S","156","S","79","S","57","S","33","S","11","S","3","S","1","S","251","S","215","S","7","S","28","S","77","S","155","S","195","S","264","S","397","S","1.70","C","2.54","C","4.20","C","10.2","C","5.9","C","2.1","C","0.6","C","3.15","C","0.0","S","0.0","S","0.0","S","0.2","C","0.1","C","-7777","C","0.0","C","0.0","C","0.2","S","-7777","C","-7777","C","0.0","C","0.0","C","52.5","S","2.9","S","308","C","27.7","C","178","C","73","C","15","C","0.0","C","0.0","C","0.0","C","62.3","C","3.1","C","0.0","S","0","S","1","S","3.5","S","122","S","243","S","300","S","309","S","42.8","S","3","S","59","S","226","S","538","S","864","S","984","S","3.0","S"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","11","63",,"27",,"9",,"5","S","2","S","0","S","0","S","-7777","S","15.8","S","2.3","S","123","S","63","S","27","S","9","S","5","S","2","S","-7777","S","0","S","0","S","73","S","58","S","117","S","204","S","318","S","450","S","506","S","593","S","741","S","1.48","C","2.58","C","4.29","C","10.8","C","6.0","C","2.0","C","0.8","C","3.15","C","0.0","S","0.4","S","1.6","S","1.7","S","0.4","S","-7777","S","0.0","S","0.0","S","1.2","S","0.9","S","0.1","S","0.0","S","0.0","S","40.3","S","3.8","S","222","C","12.9","C","48","C","8","C","0","C","0.0","C","0.0","C","2.0","C","48.2","C","4.4","C","0.0","S","1","S","32","S","14.0","S","241","S","291","S","300","S","300","S","32.4","S","462","S","759","S","948","S","1000","S","1000","S","1000","S","3.5","S"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","12","7",,"3",,"1",,"1","S","-7777","S","0","S","0","S","0","S","14.0","S","2.0","S","18","S","7","S","3","S","1","S","1","S","-7777","S","0","S","0","S","0","S","12","S","8","S","398","S","542","S","692","S","845","S","907","S","1000","S","1155","S","1.20","C","1.88","C","2.74","C","11.0","C","5.0","C","1.2","C","0.3","C","2.25","C","2.1","C","5.8","C","10.5","C","6.9","C","2.5","C","0.7","C","0.3","C","0.0","C","8.2","C","10.0","S","4.9","S","2.2","S","0.7","S","27.7","S","5.6","S","91","C","2.6","C","6","C","0","C","0","C","0.0","C","0.0","C","11.4","C","34.8","C","5.5","C","1.5","S","63","S","131","S","26.0","S","303","S","308","S","310","S","310","S","20.7","S","997","S","1000","S","1000","S","1000","S","1000","S","1000","S","6.0","S"
